//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 247008
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima7;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus13;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00247008;1;01/09/1997;1;1,2;2,4;8;3;1;1;0;1865,7;1;0;0;0;0;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;1,1;0;0;0,1;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/10/1997;1;9,1;13;21;3;1;1;0;1865,7;1;0;0;0;0;0;0;0;2,1;0;0;0;0;0;0;0;0;0;0;0;0;9,1;1,8;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/11/1997;1;34,5;132,7;22;8;1;1;0;1865,7;1;0;0;0;3,8;0;0;0;16,9;21,5;0;0;0;0;21,1;0;0;28,2;0;5,9;0;0;34,5;0;0;0,8;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/12/1997;1;28,4;110,3;23;13;1;1;0;1865,7;1;0;0;1,8;0;0;0;0;0;0;0;0;6,8;0;0;0;2,4;15,3;8,8;11,8;21,4;0;0;28,4;2,8;1,1;0;1,2;2,4;0;6,1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/01/1998;1;71,4;460,8;17;24;1;1;0;2433,9;1;5,2;3,4;0;26,8;0;0;0;45,5;26,5;66,5;6,5;1,5;0;22,2;2,1;3,1;71,4;10,1;12,8;13,3;5,6;13,6;33,3;1,6;44,2;4,5;14,5;0;0;4,4;22,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/02/1998;1;27,6;139,1;20;16;1;1;0;2433,9;1;5,6;11,8;0;8,2;0;0;0;0;7,4;0;0;1,7;0;0;4,2;0;6,7;4,8;6,7;27,6;5,1;11,3;0;0;8,2;1,6;13,1;15,1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
00247008;1;01/03/1998;1;55,2;455,2;10;26;1;1;0;2433,9;1;22,3;0;4,4;11,8;17,8;0;10,7;28,8;4,4;55,2;0;0,2;7,3;4,1;4,8;11,5;52,6;18,2;44,6;27,8;8,3;18,8;29,8;0;10,4;3,8;0;7,6;9,1;11,8;29,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/04/1998;1;19,8;168,3;22;27;1;1;0;2433,9;1;0,9;2,9;2,7;0,6;14,4;1,1;0,5;0;0;10,8;0;14,5;13,9;4,4;3,2;10,8;5,1;4,8;3,4;5,9;6,5;19,8;13,4;1,5;7,8;2,7;3,3;2,3;4,9;6,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00247008;1;01/05/1998;1;36,4;240,5;12;23;1;1;0;2433,9;1;0;0;10,5;10,8;1,3;0;25,1;0,5;0;6,8;10,3;36,4;0,2;0;2,2;22,2;31,3;11,1;0;23,9;0,2;7,8;3,8;7,6;0;6,7;0,8;0,6;0;10,3;10,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00247008;1;01/06/1998;1;27,3;119,4;28;17;1;1;0;2433,9;1;10,2;15,1;2,1;0;0;0;0;0;5,1;0,2;0;9,7;4,4;7,9;5,8;8,4;3,3;4,6;12,6;1,1;0;0;0,5;0;0;0;1,1;27,3;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
